
NEW TRIAL
+----+-----------------------------+-----------+
|    | Function                    |   Time(s) |
+----+-----------------------------+-----------+
|    | Function                    |   Time(s) |
|----+-----------------------------+-----------|
|  0 | build_gru                   |   1.817   |
|  1 | build_lstm                  |   1.679   |
|  2 | data_processing_mdl_24      |   0.002   |
|  3 | training_LSTM_mdl_24        |  17.411   |
|  4 | training_GRU_mdl_24         |  11.453   |
|  5 | testing_LSTM_mdl_24         |   2.672   |
|  6 | testing_GRU_mdl_24          |   2.312   |
|  7 | data_processing_mdl_36      |   0.003   |
|  8 | training_LSTM_mdl_36        |  14.722   |
|  9 | training_GRU_mdl_36         |   3.747   |
| 10 | testing_LSTM_mdl_36         |   0.211   |
| 11 | testing_GRU_mdl_36          |   0.167   |
| 12 | data_processing_mdl_48      |   0.002   |
| 13 | training_LSTM_mdl_48        |  21.525   |
| 14 | training_GRU_mdl_48         |   5.334   |
| 15 | testing_LSTM_mdl_48         |   0.211   |
| 16 | testing_GRU_mdl_48          |   0.166   |
| 17 | data_processing_mdl_60      |   0.002   |
| 18 | training_LSTM_mdl_60        |  28.44    |
| 19 | training_GRU_mdl_60         |   7.016   |
| 20 | testing_LSTM_mdl_60         |   0.215   |
| 21 | testing_GRU_mdl_60          |   0.167   |
| 22 | data_processing_mdl_72      |   0.002   |
| 23 | training_LSTM_mdl_72        |  35.272   |
| 24 | training_GRU_mdl_72         |   8.618   |
| 25 | testing_LSTM_mdl_72         |   0.212   |
| 26 | testing_GRU_mdl_72          |   0.167   |
| 27 | FedAVG with Participants=2  |   0.00429 |
| 28 | FedAVG with Participants=3  |   0.00497 |
| 29 | FedAVG with Participants=4  |   0.00576 |
| 30 | FedAVG with Participants=5  |   0.0073  |
| 31 | FedAVG with Participants=6  |   0.00884 |
| 32 | FedAVG with Participants=7  |   0.01017 |
| 33 | FedAVG with Participants=8  |   0.00917 |
| 34 | FedAVG with Participants=9  |   0.01045 |
| 35 | FedAVG with Participants=10 |   0.01127 |
| 36 | FedAVG with Participants=15 |   0.01677 |
